epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5138.24,0.90255,0.52613,0.99106,0.96089,0.92677,0.98297,0.82942,0.63239,0.40028,0.87552,0.000665289,0.000665289,0.000665289
2,13652.1,0.74871,0.454,0.92883,0.93763,0.96327,0.98442,0.83749,0.61393,0.39961,0.87546,0.00129899,0.00129899,0.00129899
3,33167.6,0.72373,0.44169,0.92395,0.94315,0.94905,0.98225,0.81881,0.68578,0.41563,0.89095,0.00189969,0.00189969,0.00189969
4,38150,0.70025,0.43142,0.91434,0.9469,0.97254,0.98528,0.85486,0.58264,0.37767,0.85913,0.0018515,0.0018515,0.0018515
5,87005,0.67615,0.40715,0.90831,0.92936,0.97483,0.98365,0.83127,0.62255,0.38373,0.86348,0.001802,0.001802,0.001802
6,94438.9,0.67401,0.39507,0.90478,0.97095,0.9405,0.98581,0.8525,0.58238,0.35327,0.85749,0.0017525,0.0017525,0.0017525
7,104647,0.65209,0.3875,0.9014,0.93994,0.96686,0.98701,0.8537,0.57353,0.35449,0.856,0.001703,0.001703,0.001703
8,109886,0.65008,0.38234,0.89726,0.95071,0.95881,0.98563,0.85777,0.5797,0.34489,0.85088,0.0016535,0.0016535,0.0016535
