epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17605.5,1.2347,0.85836,1.20869,0.98084,0.97813,0.99036,0.70275,1.02847,0.62376,1.00545,0.000332637,0.000332637,0.0670689
2,22719.8,1.15325,0.75412,1.17203,0.95411,0.98125,0.9795,0.66008,1.13954,0.64256,1.10315,0.000654982,0.000654982,0.0340579
3,61112.9,1.12728,0.70716,1.16994,0.9564,0.95973,0.9708,0.64026,1.21426,0.64263,1.09241,0.000966327,0.000966327,0.00103592
4,66237.2,1.11444,0.67955,1.15748,0.97158,0.96875,0.96795,0.67179,1.08699,0.5478,1.06208,0.0009505,0.0009505,0.0009505
5,71527.5,1.09576,0.64967,1.14978,0.98113,0.97491,0.98484,0.68,1.11496,0.56788,1.07021,0.000934,0.000934,0.000934
6,76810.2,1.09242,0.63307,1.15553,0.98984,0.98125,0.99196,0.71155,1.04016,0.52091,1.04636,0.0009175,0.0009175,0.0009175
