epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,943.931,1.05227,2.17022,1.04522,0.89733,0.90136,0.95556,0.65787,0.98414,1.43883,1.00011,0.0006625,0.0006625,0.0006625
2,1841.55,1.02747,1.35347,1.01006,0.93323,0.96084,0.9722,0.68186,0.97481,1.19799,1.00077,0.00119758,0.00119758,0.00119758
3,2699.43,0.99198,1.00602,0.99671,0.98411,0.96765,0.98687,0.71502,0.974,0.84216,1.02309,0.00160066,0.00160066,0.00160066
4,3577.52,0.96334,0.79684,0.98588,0.99682,0.98065,0.99428,0.73324,0.91861,0.694,0.98776,0.001406,0.001406,0.001406
5,4554.05,0.89377,0.66231,0.96136,0.99371,0.98728,0.99488,0.74705,0.88725,0.60181,0.96772,0.001208,0.001208,0.001208
6,5446.97,0.84135,0.59278,0.94353,0.99629,0.99062,0.99189,0.74848,0.85555,0.56888,0.94122,0.00101,0.00101,0.00101
7,6409.11,0.8409,0.55544,0.94006,0.99278,0.98438,0.9945,0.77574,0.83423,0.52267,0.94724,0.000812,0.000812,0.000812
8,7251.46,0.79711,0.50631,0.9222,0.99838,0.9875,0.99494,0.79214,0.79117,0.46288,0.92581,0.000614,0.000614,0.000614
9,10304.6,0.7465,0.46029,0.90126,0.99377,0.9964,0.99494,0.8087,0.77979,0.45139,0.92488,0.000416,0.000416,0.000416
10,11156.8,0.71806,0.42783,0.89847,0.99634,0.99062,0.99484,0.81671,0.73961,0.41454,0.91849,0.000218,0.000218,0.000218
